order,pollutant,station,timing,type,value
150.0,NO2,all,years,air,18.12368874999997
151.0,NO2,all,years,air,11.907731249999987
152.0,NO2,all,years,air,12.979659583333309
153.0,NO2,all,years,air,18.147724999999966
154.0,NO2,all,years,air,15.587770960187335
155.0,NO2,all,years,air,20.738651041666685
156.0,NO2,all,years,air,14.323825416666661
157.0,NO2,all,years,air,14.443960416666663
158.0,NO2,all,years,air,13.277893541666668
159.0,NO2,all,years,air,12.569726250000004
160.0,NO2,all,years,air,15.943522916666671
161.0,NO2,all,years,air,15.183186666666646
162.0,NO2,all,years,air,13.132351250000012
163.0,NO2,all,years,air,13.735076250000013
164.0,NO2,all,years,air,17.420730624999997
165.0,NO2,all,years,air,13.367687291666659
166.0,NO2,all,years,air,11.521147291666644
167.0,NO2,all,years,air,15.207091041666654
168.0,NO2,all,years,air,15.556941250000001
169.0,NO2,all,years,air,14.81526229166665
170.0,NO2,all,years,air,11.387065486725637
171.0,NO2,all,years,air,7.273930833333332
172.0,NO2,all,years,air,16.372321666666632
173.0,NO2,all,years,air,19.573994822888245
174.0,NO2,all,years,air,15.123026249999988
175.0,NO2,all,years,air,15.204054166666657
176.0,NO2,all,years,air,16.488430416666645
177.0,NO2,all,years,air,14.88167541666669
178.0,NO2,all,years,air,13.982192665036678
179.0,NO2,all,years,air,14.914714095744664
180.0,NO2,all,years,air,13.477154999999986
181.0,NO2,all,years,air,13.547437291666666
182.0,NO2,all,years,air,15.204606041666654
183.0,NO2,all,years,air,15.030180208333324
184.0,NO2,all,years,air,13.362932499999992
185.0,NO2,all,years,air,14.822507708333323
186.0,NO2,all,years,air,14.833147083333326
187.0,NO2,all,years,air,13.515387234042544
188.0,NO2,all,years,air,16.778900438596477
189.0,NO2,all,years,air,18.552375657894714
190.0,NO2,all,years,air,13.902278289473694
191.0,NO2,all,years,air,15.540811914893599
192.0,NO2,all,years,air,14.560025208333313
193.0,NO2,all,years,air,17.496081584582424
194.0,NO2,all,years,air,17.749474780701732
195.0,NO2,all,years,air,17.923375377969748
196.0,NO2,all,years,air,19.307697291666663
197.0,NO2,all,years,air,16.531926875000007
198.0,NO2,all,years,air,16.722805208333334
199.0,NO2,all,years,air,11.64824479166664
200.0,NO2,all,years,air,18.159640624999977
201.0,NO2,all,years,air,16.469059791666655
202.0,NO2,all,years,air,16.130964374999994
203.0,NO2,all,years,air,14.131197500000013
204.0,NO2,all,years,air,14.107035353535336
205.0,NO2,all,years,air,13.55078222222221
206.0,NO2,all,years,air,12.554685416666649
207.0,NO2,all,years,air,15.916574791666651
208.0,NO2,all,years,air,17.18688354166666
209.0,NO2,all,years,air,18.33313500000001
210.0,NO2,all,years,air,16.242383124999996
211.0,NO2,all,years,air,15.996509583333326
212.0,NO2,all,years,air,13.69209208333331
213.0,NO2,all,years,air,14.713651041666648
214.0,NO2,all,years,air,17.817852291666657
215.0,NO2,all,years,air,19.952194791666674
216.0,NO2,all,years,air,0.0
217.0,NO2,all,years,air,17.13674229166668
218.0,NO2,all,years,air,14.585447083333337
219.0,NO2,all,years,air,15.881003138075284
220.0,NO2,all,years,air,17.98510104166665
221.0,NO2,all,years,air,20.729721875000003
222.0,NO2,all,years,air,21.35436791666665
223.0,NO2,all,years,air,21.851145624999976
224.0,NO2,all,years,air,15.828723958333319
225.0,NO2,all,years,air,18.313348124999987
226.0,NO2,all,years,air,16.449442291666642
227.0,NO2,all,years,air,17.802117291666644
228.0,NO2,all,years,air,16.66680312499997
229.0,NO2,all,years,air,17.110367916666654
230.0,NO2,all,years,air,16.085527708333334
231.0,NO2,all,years,air,14.908276250000004
232.0,NO2,all,years,air,13.747221249999988
233.0,NO2,all,years,air,15.626268541666665
234.0,NO2,all,years,air,15.592928333333333
235.0,NO2,all,years,air,17.41714854166664
236.0,NO2,all,years,air,17.31149770354905
237.0,NO2,all,years,air,16.872182916666656
238.0,NO2,all,years,air,15.397360624999992
239.0,NO2,all,years,air,16.24763604166666
240.0,NO2,all,years,air,16.405806249999994
241.0,NO2,all,years,air,16.320909791666644
242.0,NO2,all,years,air,17.783994583333325
243.0,NO2,all,years,air,19.91451041666666
244.0,NO2,all,years,air,16.831934166666663
245.0,NO2,all,years,air,14.707496875
246.0,NO2,all,years,air,12.796387291666669
247.0,NO2,all,years,air,11.982267708333312
